ID,開催日,理由
S01,2026-05-16,
S02,2026-05-23,
,2026-05-30,保護者作業(前期)/全保護者対象
S03,2026-06-06,
S04,2026-06-13,
S05,2026-06-20,
S06,2026-06-27,
,2026-07-04,みたから夏祭り
S07,2026-07-11,
S08,2026-07-18,
S09,2026-07-25,
S0A,2026-08-01,
S0B,2026-08-08,
,2026-08-15,お盆休み
S0C,2026-08-22,
S0D,2026-08-29,
S0E,2026-09-05,
H01,2026-09-12,
H02,2026-05-16,
H03,2026-05-23,
H04,2026-06-06,
H05,2026-06-13,
H06,2026-06-20,
B01,2026-06-27,
B02,2026-07-11,
B03,2026-07-18,
B04,2026-07-25,
B05,2026-08-01,
B06,2026-08-08,
B07,2026-08-22,
B08,2026-08-29,
B09,2026-09-05,
B0A,2026-09-12,
B0B,2026-05-16,
K01,2026-05-23,
K02,2026-06-06,
K03,2026-06-13,
K04,2026-06-20,
K05,2026-06-27,
K06,2026-07-11,
R01,2026-07-18,
R02,2026-07-25,
R03,2026-08-01,
R04,2026-08-08,
R05,2026-08-22,
P01,2026-08-29,
,2026-09-19,予備日
,2026-09-26,予備日
,2026-10-03,運動会
,2026-10-10,予備日
,2026-10-17,保護者作業(後期)/全保護者対象
,2026-10-24,予備日